reflectance_date,km,+m,aerosol,blue,green,red,rojo 1,rojo 2,rojo 3,NIR,rojo 4,SWIR1,SWIR2,scc_date,SSC,SSC2,SSC4,SSC_median4,SSC_median2,time_diff,RANS,VNES,NIR/RED,NDTI,modelo_rans
2025-12-31,19,940,0.037188,0.046899997,0.068068,0.07794001,0.081999995,0.062219996,0.063768,0.054148003,0.049624,0.013172001,0.011131999,2025-12-30,189.8170588235294,205.95,200.89,201.83,202.21,1 days,0.4867630016670474,0.7889445758791062,0.6947394925918023,0.0676127974074846,6.045272416107482
2025-12-31,19,800,0.03632,0.044976,0.067812,0.076864,0.083468,0.061952006,0.064324,0.052392002,0.04824,0.012068,0.009880001,2025-12-30,190.4273684210526,196.5125,187.4871428571428,181.03,201.835,1 days,0.4896208996149023,0.8057971437869653,0.6816195097835137,0.0625673919654953,6.099544326821938
2026-01-15,1,900,0.056479998,0.07524,0.09790001,0.110011995,0.116152,0.07966,0.08542399,0.067444,0.06216,0.01704,0.016368,2026-01-14,251.0259913043479,219.1068142857143,227.561,224.8797,219.2113,1 days,0.4621201672102352,0.7645961791466211,0.613060421274971,0.0582553422059491,5.577301293347448
2026-01-15,3,500,0.0547,0.072972,0.095336,0.10641601,0.11063999,0.072032005,0.076083995,0.059387997,0.052352,0.012967999,0.0124079995,2026-01-14,246.636671875,235.3904384615385,243.0054217391304,235.5,224.4733,1 days,0.4612226401528715,0.7689936597898536,0.5580738932046033,0.0549189571890758,5.560257119899054
2026-01-15,19,940,0.070952,0.080404006,0.09852,0.107095994,0.11319199,0.088508,0.09500801,0.07676,0.07588801,0.01834,0.021808,2026-01-14,404.6768346153846,278.0213882352941,273.2802925925926,273.8552,275.3645,1 days,0.4562998699519517,0.7372234840964142,0.716740161167933,0.041708788470998,5.466772975368055
2026-01-20,17,600,0.0498,0.061947998,0.088696,0.10577999,0.10740399,0.077252,0.077808,0.06612799,0.060275998,0.023055999,0.019124,2026-01-21,302.9576526315789,263.1890666666666,270.3736857142857,266.5213,262.983,1 days,0.4713268669612701,0.7658006087028667,0.6251464950979859,0.0878462683234059,5.752137902624563
2026-01-20,19,800,0.038379997,0.052584,0.080936,0.097016,0.102763996,0.080415994,0.081884004,0.07128,0.066296,0.018724,0.016876,2026-01-21,359.2162741935483,338.0434300000001,342.8615692307693,349.9035,346.0067,1 days,0.4987789553548142,0.8033406714560067,0.7347241692092026,0.0903614457831326,6.273457179031226
2026-01-20,19,940,0.036444,0.049815997,0.077228,0.0928,0.098652,0.079284,0.080263995,0.069795996,0.066776,0.018196,0.015940001,2026-01-21,325.1736428571429,310.82206,316.2750625,318.86355,307.2104,1 days,0.5021866939276542,0.8068788324065806,0.752112025862069,0.0915849154256945,6.3381706456902425
2026-01-20,3,500,0.0512,0.064684,0.093324006,0.108807996,0.114004,0.086476,0.086624004,0.073716,0.066876,0.021388,0.018844001,2026-01-21,272.40776,261.1137,264.5337882352941,270.2335,258.6061,1 days,0.4793625304963504,0.7787710856690411,0.6774869743947862,0.0766033574436174,5.90473635850527
2026-01-20,14,800,0.051319994,0.06454,0.089660004,0.106552,0.108464,0.07648,0.076312006,0.06566399,0.059244,0.02142,0.018172,2026-01-21,341.7682323529412,332.6733285714286,320.9978272727272,294.775,290.2272,1 days,0.4705252148126578,0.7668684689985213,0.6162623883174413,0.086090532972692,5.736914408074595
2026-01-20,18,200,0.044252,0.057428002,0.084428005,0.09965599,0.10494401,0.082067996,0.083496,0.073152,0.06841999,0.023456002,0.021304,2026-01-21,310.7645,241.485825,272.1699444444445,282.5085,238.6314,1 days,0.4807914621193672,0.7727697671072877,0.7340451888541772,0.0827230254319502,5.931871984366103
2026-02-04,3,500,0.0594,0.078379996,0.09985999,0.112232,0.117883995,0.09045601,0.095068,0.081348,0.075692005,0.022020001,0.021152,2026-02-04,325.02525,288.41685,297.6381833333334,293.08,288.37335,0 days,0.4664668380693336,0.7505301421639257,0.724820015681802,0.0583332260685563,5.659845224962355
2026-02-04,0,500,0.056247998,0.07538801,0.098692,0.111616,0.11896,0.092347994,0.09636,0.081832,0.078403994,0.022559999,0.021887999,2026-02-04,452.8677625,286.0347666666667,304.559275,304.1238,284.15585,0 days,0.4695613245516957,0.758316003683399,0.7331565366972477,0.061452726477357,5.718609987435384
2026-02-04,1,0,0.057104003,0.07641601,0.099888,0.112363994,0.119224004,0.093208,0.097504005,0.08306399,0.077368,0.023384001,0.02254,2026-02-04,311.8012081632653,287.658025,287.5032777777778,288.9443,285.16765,0 days,0.4679161471152832,0.7533759643507572,0.7392402765604791,0.0587791603974283,5.687367821141296
2026-02-04,1,900,0.05692,0.078256,0.099227995,0.112808,0.119444,0.094299994,0.09854001,0.08392401,0.07888,0.023123998,0.021636,2026-02-04,342.6930457142857,274.38255,283.5899909090909,282.5189,269.72035,0 days,0.4695543625203757,0.7546399023716879,0.743954418126374,0.0640457531750682,5.718477777416313
2026-02-04,17,600,0.050600003,0.07114,0.096392006,0.109675996,0.114656,0.080455996,0.085136,0.070935994,0.064648,0.011115999,0.010364001,2026-02-04,357.039470212766,287.0216500000001,306.7471454545455,319.1128,280.64335,0 days,0.4886370797203329,0.7988333906762914,0.6467777507121978,0.064464108309256,6.080861439451079
2026-02-04,18,200,0.050584003,0.069731995,0.092807986,0.105548,0.11208,0.08936,0.095124,0.080148004,0.075151995,0.016304001,0.015028001,2026-02-04,394.1334297297298,369.55855,373.88297,373.84685,367.32015,0 days,0.4892298886101792,0.7845129573585455,0.7593512335619812,0.0642280288934663,6.092118969190596
2026-02-04,19,800,0.041760005,0.058983997,0.082056,0.09528,0.101884,0.079560004,0.083652,0.070104,0.065076,0.013199999,0.013128,2026-02-04,379.3956,345.2228,347.04712,343.04605,347.0684,0 days,0.4970188067632207,0.8032047988075779,0.7357682619647354,0.0745703072134253,6.240031693254576
