fecha,estacion,SSC,NIR
2023-01-21,16,431.90015,0.07947587854482414
2023-01-26,1,375.33102,0.0727955214821008
2023-01-26,2,353.09705,0.07016986931948352
2023-01-26,3,332.85855,0.06777986603652819
2023-01-26,4,344.0363,0.06909986797323565
2023-01-26,5,336.5506,0.06821586730247355
2023-01-26,6,350.26874,0.06983586876681334
2023-01-26,7,326.82935,0.06706786624436997
2023-01-26,8,323.10342,0.06662786402424192
2023-01-26,9,330.0811,0.0674518716388088
2023-01-26,10,326.38904,0.06701586919194424
2023-01-26,11,361.54813,0.07116787356606889
2023-01-26,12,349.35425,0.06972787488869837
2023-01-26,13,352.61475,0.0701129135874199
2023-01-26,14,350.053,0.06981039161641857
2023-01-26,15,332.53397,0.06774153576177554
2023-01-26,16,365.16397,0.07159487504694154
2023-02-05,1,294.21066,0.06321586257879683
2023-02-05,2,283.77814,0.06198386628215939
2023-02-05,3,286.72498,0.0623318642698731
2023-02-05,4,290.41702,0.06276786435489928
2023-02-05,5,270.53415,0.0604198581007513
2023-02-05,6,265.3179,0.05980386113335176
2023-02-05,7,248.17867,0.057779856589174755
2023-02-05,8,247.02701,0.057643854850861716
2023-02-05,9,211.49535,0.053447852970838386
2023-02-05,10,263.99686,0.059647856985963595
2023-02-05,11,262.94684,0.059523858110198655
2023-02-05,12,288.35083,0.06252386401479455
2023-02-05,13,321.74857,0.06646786718910531
2023-02-05,14,307.9627,0.06483986735915767
2023-02-05,15,272.19388,0.060615858799855454
2023-02-05,16,302.20444,0.06415986339126924
2023-02-10,1,307.65784,0.06480386585702848
2023-02-10,2,312.43375,0.06536786222924475
2023-02-10,3,291.3993,0.06288386368413718
2023-02-10,4,313.1451,0.06545186691513206
2023-02-10,5,287.70728,0.06244786596094937
2023-02-10,6,263.4888,0.05958785920609166
2023-02-10,7,267.28247,0.060035860972746755
2023-02-10,8,273.58264,0.060779860131932296
2023-02-10,9,243.06401,0.057175856579727395
2023-02-10,10,277.6134,0.06125586031143201
2023-02-10,11,285.91202,0.062235860264195246
2023-02-10,12,311.9934,0.0653158604531423
2023-02-10,13,348.37192,0.06961186965486456
2023-02-10,14,290.34924,0.06275986008469553
2023-02-10,15,273.9891,0.06082785977293287
2023-02-10,16,295.0236,0.06331186422263634
2023-02-15,1,323.78088,0.06670786657502735
2023-02-15,2,328.89554,0.0673118665844747
2023-02-15,3,326.1858,0.06699186819052479
2023-02-15,4,325.50836,0.06691186800157771
2023-02-15,5,291.73804,0.06292386614044908
2023-02-15,6,287.5379,0.062427863551874234
2023-02-15,7,270.77127,0.06044786005635346
2023-02-15,8,284.65878,0.0620878627488492
2023-02-15,9,281.3393,0.061695858988802525
2023-02-15,10,316.1597,0.06580786681121117
2023-02-15,11,311.48535,0.06525586385418955
2023-02-15,12,331.7069,0.06764386547913434
2023-02-15,13,344.71375,0.0691798693431019
2023-02-15,14,319.00494,0.06614386666005352
2023-02-15,15,341.08945,0.06875186880460275
2023-02-15,16,334.3828,0.06795986764257828
2023-02-20,1,351.42038,0.06997186814328801
2023-02-20,2,352.0301,0.0700438711475464
2023-02-20,3,336.41513,0.06819986939033867
