K;#�NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
18;200;10.15858976;703.4599
18;200;9.523329882;677.177
18;200;9.494169734;675.6844
18;200;9.18162878;654.1295
18;200;8.816069362;692.7864
18;200;8.449157747;674.3347
18;200;7.532047698;682.4844
18;200;6.823522542;667.7336
18;200;6.398942604;662.5187
18;200;5.791080136;739.9388
18;200;4.583046831;717.1019
18;200;3.777700067;663.0599
18;200;3.245023163;652.6671
18;200;3.013492506;678.9409
18;200;2.972048967;639.9405
18;200;2.39376649;651.4964
18;200;1.736155746;664.7634
18;200;1.37484072;654.368
18;200;1.129867492;638.49
18;200;0.682254209;692.0548
19;800;13.56290502;687.3605
19;800;13.42227673;680.9028
19;800;13.25738424;631.233
19;800;13.25728983;617.8499
19;800;13.37437597;630.615
19;800;13.29991134;667.6874
19;800;13.26121517;795.1916
19;800;13.23913425;756.3527
19;800;13.20320669;805.3337
19;800;13.18658194;810.529
19;800;13.10129386;795.3376
19;800;13.06043843;731.4175
19;800;13.0951014;807.3616
19;800;13.18662188;884.8777
19;800;13.11647411;747.7338
19;800;13.0526315;757.2674
19;800;12.99308438;803.472
19;800;12.88447856;767.8218
19;800;12.90917109;734.4551
19;800;13.00972318;753.1479
19;800;13.08615046;758.3929
19;800;12.77556379;818.2671
19;800;12.32916867;672.4129
19;800;11.91894096;842.9853
19;800;12.00115884;867.407
19;800;11.77466035;745.0667
19;800;11.50385215;761.1715
19;800;11.06090976;789.4565
19;800;11.05102394;711.6689
19;800;10.93342374;742.4567
19;800;10.41344684;738.1683
19;800;9.707352703;757.1489
19;800;9.271288424;805.4954
19;800;8.53873734;754.1696
19;800;7.887914922;777.6793
19;800;7.537637076;733.0489
19;800;6.892858368;765.9307
19;800;6.214490758;776.0955
19;800;6.045688456;733.6918
19;800;5.496284163;727.4092
19;800;5.259574582;832.6762
19;800;5.146948219;768.3279
19;800;4.545294658;813.7654
19;800;4.667121867;715.8074
19;800;4.202930583;749.2781
19;800;4.086778281;805.6372
19;800;3.934156342;702.6244
19;800;3.30598541;678.8975
19;800;3.210804074;753.7895
19;800;2.601492119;664.9976
19;800;2.248060782;697.547
